iter	Passed	Remaining
422	3002	546
423	3007	539
424	3012	531
425	3018	524
426	3023	516
427	3029	509
428	3034	502
429	3039	494
430	3044	487
431	3050	480
432	3055	472
433	3061	465
434	3066	458
435	3072	450
436	3077	443
437	3083	436
438	3089	429
439	3094	421
440	3100	414
441	3105	407
442	3111	400
443	3116	393
444	3122	385
445	3127	378
446	3133	371
447	3138	364
448	3144	357
449	3149	349
450	3158	343
451	3165	336
452	3172	329
453	3177	321
454	3183	314
455	3188	307
456	3193	300
457	3199	293
458	3205	286
459	3210	279
460	3217	272
461	3224	265
462	3229	258
463	3235	251
464	3241	243
465	3246	236
466	3252	229
467	3257	222
468	3263	215
469	3268	208
470	3273	201
471	3278	194
472	3284	187
473	3289	180
474	3295	173
475	3300	166
476	3306	159
477	3311	152
478	3316	145
479	3322	138
480	3327	131
481	3332	124
482	3337	117
483	3342	110
484	3347	103
485	3354	96
486	3359	89
487	3364	82
488	3369	75
489	3374	68
490	3379	61
491	3384	55
492	3389	48
493	3394	41
494	3400	34
495	3405	27
496	3410	20
497	3417	13
498	3422	6
499	3427	0
